filename,process_step,time_stamp
START__,START__,START__
Capitalism_in_the_Web_of_Life_Ecology_and_the_Accu..._----_(Introduction_The_Double_Internality_History_as_if_Nature_Matters).pdf,to_image,2025-02-26 20:59:33.849855
ChatGPT_is_bullshit.pdf,to_image,2025-02-26 20:59:38.800600
Cooper - Colonial Questions.pdf,to_image,2025-02-26 20:59:49.689760
jit.2015.5.pdf,to_image,2025-02-26 20:59:56.608555
s41586-022-05543-x.pdf,to_image,2025-02-26 21:00:10.929027
SciAm-1949-Weaver.pdf,to_image,2025-02-26 21:00:13.673498
TortoiseandSoftware-MooresLawetcJUS8-14.pdf,to_image,2025-02-26 21:00:26.441034
